chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart,Sentiment,Emotions
1988-07-23,10,Rush Hour,Jane Wiedlin,11,10,12,Positive,"{'anticipation': 4, 'anger': 2, 'fear': 1, 'sadness': 1, 'surprise': 3, 'joy': 4, 'trust': 2}"
1988-07-30,8,1-2-3,Gloria Estefan & Miami Sound Machine,11,8,9,Positive,"{'disgust': 2, 'trust': 2, 'anticipation': 2, 'joy': 14, 'anger': 3, 'fear': 4, 'sadness': 5, 'surprise': 3}"
1988-07-30,10,I Don't Wanna Go On With You Like That,Elton John,14,10,7,Negative,"{'fear': 27, 'sadness': 25, 'joy': 4, 'surprise': 2, 'trust': 4, 'anticipation': 3, 'anger': 4, 'disgust': 4}"
1988-08-06,8,I Don't Wanna Live Without Your Love,Chicago,13,8,10,Positive,"{'fear': 3, 'sadness': 2, 'joy': 14, 'anticipation': 2, 'surprise': 3, 'anger': 1, 'disgust': 1}"
1988-08-06,10,Monkey,George Michael,16,10,5,Positive,"{'joy': 24, 'anticipation': 8, 'trust': 6, 'surprise': 2, 'anger': 1, 'disgust': 2, 'fear': 1, 'sadness': 1}"
1988-08-13,10,Just Got Paid,Johnny Kemp,12,10,14,Positive,"{'anger': 6, 'anticipation': 20, 'fear': 10, 'disgust': 4, 'joy': 22, 'sadness': 4, 'surprise': 15, 'trust': 12}"
1988-08-20,9,Sweet Child O' Mine,Guns N' Roses,13,9,9,Positive,"{'anticipation': 23, 'joy': 29, 'surprise': 16, 'trust': 14, 'sadness': 4, 'anger': 1, 'disgust': 1, 'fear': 4}"
1988-08-27,5,Simply Irresistible,Robert Palmer,12,5,9,Positive,"{'joy': 15, 'trust': 19, 'anger': 9, 'anticipation': 11, 'disgust': 3, 'fear': 6, 'surprise': 9, 'sadness': 1}"
1988-08-27,8,Perfect World,Huey Lewis & The News,13,8,7,Positive,"{'anticipation': 21, 'joy': 22, 'trust': 20, 'disgust': 2, 'fear': 1, 'sadness': 1, 'surprise': 1}"
1988-08-27,9,Love Will Save The Day,Whitney Houston,11,9,9,Positive,"{'joy': 92, 'trust': 59, 'anger': 24, 'fear': 32, 'sadness': 21, 'disgust': 9, 'anticipation': 10, 'surprise': 8}"
1988-09-03,8,When It's Love,Van Halen,13,8,10,Positive,"{'joy': 19, 'trust': 3, 'surprise': 1, 'anticipation': 1, 'fear': 2, 'sadness': 2}"
1988-09-03,9,If It Isn't Love,New Edition,15,9,10,Positive,"{'joy': 31, 'anger': 21, 'disgust': 11, 'trust': 3, 'sadness': 24, 'anticipation': 9, 'fear': 20, 'surprise': 3}"
1988-09-03,10,I'll Always Love You,Taylor Dayne,16,10,13,Positive,"{'joy': 21, 'anticipation': 9, 'surprise': 6, 'trust': 10, 'fear': 1}"
1988-09-10,10,"Nobody's Fool (Theme From ""Caddyshack II"")",Kenny Loggins,13,10,10,Positive,"{'disgust': 9, 'joy': 14, 'sadness': 4, 'anticipation': 7, 'trust': 3, 'anger': 4, 'fear': 4, 'surprise': 7}"
1988-09-17,9,Love Bites,Def Leppard,16,9,6,Positive,"{'joy': 39, 'anticipation': 2, 'fear': 8, 'surprise': 7, 'trust': 1, 'anger': 3, 'sadness': 3}"
1988-09-17,10,It Would Take A Strong Strong Man,Rick Astley,13,10,10,Negative,"{'anticipation': 7, 'anger': 6, 'sadness': 10, 'joy': 5, 'fear': 7, 'trust': 2, 'surprise': 3, 'disgust': 3}"
1988-09-24,7,One Good Woman,Peter Cetera,11,7,10,Positive,"{'anticipation': 12, 'joy': 17, 'surprise': 11, 'trust': 20, 'anger': 3, 'fear': 4, 'disgust': 1, 'sadness': 2}"
1988-09-24,10,Don't Be Cruel,Cheap Trick,15,10,9,Positive,"{'anger': 14, 'disgust': 13, 'fear': 14, 'sadness': 14, 'joy': 25, 'trust': 12, 'surprise': 1}"
1988-10-01,5,Red Red Wine,UB40,13,5,23,Positive,"{'anticipation': 24, 'sadness': 20, 'surprise': 8, 'joy': 21, 'anger': 6, 'disgust': 5, 'fear': 8, 'trust': 11}"
1988-10-01,8,I Hate Myself For Loving You,Joan Jett & the Blackhearts,12,8,15,Negative,"{'anger': 19, 'disgust': 18, 'fear': 21, 'sadness': 21, 'joy': 18, 'trust': 15, 'anticipation': 2, 'surprise': 6}"
1988-10-01,10,What's On Your Mind (Pure Energy),Information Society,17,10,12,Negative,"{'fear': 21, 'sadness': 15, 'anger': 9, 'anticipation': 8, 'disgust': 5, 'joy': 9, 'surprise': 7, 'trust': 8}"
1988-10-08,6,Groovy Kind Of Love,Phil Collins,14,6,6,Positive,"{'anticipation': 181, 'trust': 115, 'anger': 57, 'surprise': 138, 'joy': 217, 'disgust': 51, 'fear': 108, 'sadness': 96}"
1988-10-08,10,Please Don't Go Girl,New Kids On The Block,12,10,16,Positive,"{'anticipation': 3, 'joy': 21, 'sadness': 3, 'surprise': 4, 'fear': 2, 'trust': 3}"
1988-10-15,7,Don't You Know What The Night Can Do?,Steve Winwood,13,7,9,Positive,"{'joy': 10, 'sadness': 6, 'anticipation': 10, 'surprise': 5, 'trust': 8, 'disgust': 3, 'fear': 4, 'anger': 2}"
1988-10-15,8,Don't Be Cruel,Bobby Brown,11,8,13,Positive,"{'anger': 33, 'disgust': 35, 'fear': 40, 'sadness': 36, 'anticipation': 18, 'joy': 27, 'surprise': 7, 'trust': 17}"
1988-10-15,9,"Wild, Wild West",The Escape Club,20,9,9,Negative,"{'surprise': 47, 'joy': 17, 'trust': 8, 'anger': 5, 'fear': 5, 'sadness': 3, 'anticipation': 7, 'disgust': 2}"
1988-10-22,6,"Kokomo (From""Cocktail"" )",The Beach Boys,16,6,8,Positive,"{'fear': 15, 'sadness': 16, 'anticipation': 7, 'joy': 14, 'trust': 6, 'anger': 1, 'surprise': 2}"
1988-10-22,10,The Loco-Motion,Kylie Minogue,17,10,9,Positive,"{'joy': 19, 'trust': 4, 'surprise': 4, 'anticipation': 3, 'anger': 3, 'disgust': 3, 'fear': 3, 'sadness': 4}"
1988-10-29,8,Never Tear Us Apart,INXS,11,8,12,Positive,"{'joy': 7, 'trust': 3, 'anticipation': 3, 'surprise': 1, 'anger': 1, 'fear': 1, 'sadness': 1}"
1988-10-29,9,One Moment In Time,Whitney Houston,12,9,8,Positive,"{'anticipation': 19, 'fear': 5, 'sadness': 3, 'joy': 3, 'surprise': 3, 'trust': 2, 'disgust': 1}"
1988-10-29,10,Bad Medicine,Bon Jovi,15,10,6,Negative,"{'joy': 25, 'anger': 43, 'disgust': 43, 'fear': 44, 'sadness': 46, 'trust': 14, 'anticipation': 11, 'surprise': 8}"
1988-11-05,8,Desire,U2,14,8,6,Positive,"{'anticipation': 14, 'joy': 15, 'trust': 15, 'fear': 4, 'anger': 11, 'surprise': 11}"
1988-11-12,8,"Baby, I Love Your Way/Freebird Medley",Will To Power,13,8,10,Positive,"{'joy': 31, 'anticipation': 7, 'trust': 2, 'surprise': 2, 'fear': 9, 'sadness': 8}"
1988-11-12,9,Kissing A Fool,George Michael,15,9,6,Positive,"{'disgust': 6, 'anticipation': 14, 'joy': 10, 'trust': 7, 'anger': 4, 'fear': 7, 'sadness': 5, 'surprise': 4}"
1988-11-19,8,How Can I Fall?,Breathe,11,8,11,Negative,"{'sadness': 19, 'anticipation': 4, 'joy': 2, 'trust': 4, 'anger': 2, 'disgust': 1, 'fear': 3, 'surprise': 1}"
1988-11-19,9,Look Away,Chicago,12,9,9,Positive,"{'joy': 20, 'trust': 9, 'anticipation': 8, 'surprise': 2, 'fear': 1, 'sadness': 1, 'anger': 1}"
1988-11-26,7,I Don't Want Your Love,Duran Duran,11,7,7,Positive,"{'joy': 15, 'anticipation': 3, 'trust': 3, 'surprise': 4}"
1988-11-26,9,Giving You The Best That I Got,Anita Baker,13,9,10,Positive,"{'trust': 8, 'anticipation': 9, 'joy': 16, 'anger': 1, 'fear': 4, 'disgust': 1, 'sadness': 3, 'surprise': 3}"
1988-12-03,7,Waiting For A Star To Fall,Boy Meets Girl,12,7,13,Positive,"{'anticipation': 11, 'joy': 17, 'trust': 6, 'sadness': 6, 'surprise': 6, 'anger': 1, 'disgust': 1, 'fear': 2}"
1988-12-03,10,Every Rose Has Its Thorn,Poison,16,10,6,Negative,"{'anger': 7, 'disgust': 5, 'sadness': 7, 'fear': 6, 'surprise': 6, 'anticipation': 3, 'joy': 8, 'trust': 6}"
1988-12-10,8,My Prerogative,Bobby Brown,13,8,8,Positive,"{'anger': 7, 'fear': 8, 'sadness': 9, 'disgust': 2, 'trust': 7, 'anticipation': 6, 'joy': 7, 'surprise': 4}"
1988-12-10,9,Welcome To The Jungle,Guns N' Roses,11,9,8,Positive,"{'fear': 34, 'anticipation': 11, 'joy': 6, 'trust': 3, 'anger': 3, 'surprise': 2, 'disgust': 2, 'sadness': 5}"
1988-12-10,10,Walk On Water,Eddie Money,12,10,11,Positive,"{'joy': 21, 'trust': 9, 'anticipation': 5, 'surprise': 4, 'anger': 3, 'disgust': 3, 'fear': 4, 'sadness': 5}"
1988-12-24,6,Two Hearts,Phil Collins,12,6,6,Positive,"{'anticipation': 8, 'joy': 3, 'trust': 11, 'anger': 4, 'fear': 4, 'sadness': 4}"
1988-12-24,8,In Your Room,The Bangles,13,8,11,Positive,"{'joy': 10, 'anticipation': 6, 'trust': 7, 'sadness': 2, 'surprise': 4, 'disgust': 1, 'anger': 1, 'fear': 1}"
1988-12-24,10,Don't Rush Me,Taylor Dayne,15,10,8,Positive,"{'joy': 11, 'anticipation': 5, 'sadness': 9, 'fear': 2, 'trust': 2, 'anger': 1, 'surprise': 1}"
1989-01-07,9,Armageddon It,Def Leppard,12,9,8,Positive,"{'anticipation': 6, 'surprise': 1, 'fear': 4, 'sadness': 1, 'joy': 16, 'trust': 14, 'anger': 3}"
1989-01-07,10,Smooth Criminal,Michael Jackson,13,10,9,Positive,"{'anger': 6, 'disgust': 3, 'fear': 9, 'anticipation': 7, 'joy': 9, 'surprise': 6, 'trust': 6, 'sadness': 2}"
1989-01-14,8,I Remember Holding You,Boys Club,11,8,13,Negative,"{'anticipation': 3, 'anger': 3, 'disgust': 3, 'fear': 3, 'sadness': 4, 'surprise': 4, 'joy': 4, 'trust': 3}"
1989-01-14,9,Put A Little Love In Your Heart,Annie Lennox & Al Green,12,9,11,Positive,"{'joy': 13, 'trust': 5, 'sadness': 3, 'anticipation': 7, 'anger': 1, 'disgust': 1, 'fear': 1, 'surprise': 2}"
1989-01-14,10,The Way You Love Me,Karyn White,15,10,14,Positive,"{'joy': 112, 'anger': 5, 'fear': 6, 'sadness': 6, 'trust': 25, 'anticipation': 18, 'disgust': 4, 'surprise': 10}"
1989-01-21,5,When I'm With You,Sheriff,12,5,16,Positive,"{'joy': 14, 'sadness': 3, 'anticipation': 3, 'surprise': 2, 'trust': 4}"
1989-01-21,9,When The Children Cry,White Lion,14,9,12,Positive,"{'sadness': 12, 'anticipation': 10, 'joy': 11, 'trust': 11, 'anger': 6, 'fear': 9, 'disgust': 1, 'surprise': 2}"
1989-01-28,6,Straight Up,Paula Abdul,13,6,9,Positive,"{'sadness': 5, 'joy': 28, 'disgust': 3, 'fear': 4, 'anticipation': 6, 'trust': 4, 'anger': 1}"
1989-01-28,7,Born To Be My Baby,Bon Jovi,11,7,10,Positive,"{'joy': 24, 'sadness': 4, 'anticipation': 9, 'trust': 4, 'surprise': 2, 'fear': 6, 'disgust': 4, 'anger': 1}"
1989-01-28,9,Wild Thing,Tone-Loc,15,9,9,Negative,"{'anger': 3, 'anticipation': 10, 'joy': 17, 'surprise': 22, 'trust': 9, 'disgust': 2, 'fear': 4, 'sadness': 4}"
1989-01-28,10,All This Time,Tiffany,14,10,13,Positive,"{'anticipation': 15, 'joy': 9, 'surprise': 8, 'trust': 7, 'sadness': 2}"
1989-02-11,7,The Lover In Me,Sheena Easton,12,7,15,Positive,"{'anticipation': 32, 'joy': 49, 'trust': 42, 'fear': 3, 'sadness': 5, 'surprise': 9, 'anger': 2, 'disgust': 2}"
1989-02-11,8,I Wanna Have Some Fun,Samantha Fox,11,8,14,Positive,"{'fear': 26, 'sadness': 29, 'anticipation': 49, 'joy': 33, 'surprise': 5, 'trust': 2, 'anger': 3, 'disgust': 2}"
1989-02-11,9,She Wants To Dance With Me,Rick Astley,14,9,9,Positive,"{'joy': 18, 'trust': 15, 'anger': 4, 'anticipation': 2, 'disgust': 1, 'fear': 4, 'sadness': 3, 'surprise': 3}"
1989-02-11,10,Walking Away,Information Society,15,10,12,Negative,"{'anger': 1, 'fear': 1, 'sadness': 1, 'anticipation': 1, 'trust': 1}"
1989-02-18,4,Lost In Your Eyes,Debbie Gibson,12,4,5,Positive,"{'sadness': 11, 'anticipation': 4, 'joy': 7, 'surprise': 3, 'fear': 2, 'trust': 5, 'anger': 1}"
1989-02-18,8,What I Am,Edie Brickell & New Bohemians,11,8,13,Positive,"{'trust': 3, 'joy': 1, 'surprise': 1, 'anger': 4, 'sadness': 4}"
1989-02-18,10,You Got It (The Right Stuff),New Kids On The Block,15,10,14,Positive,"{'anticipation': 13, 'anger': 1, 'fear': 1, 'surprise': 7, 'sadness': 4, 'joy': 23, 'trust': 7}"
1989-02-25,9,The Living Years,Mike + The Mechanics,16,9,8,Negative,"{'anger': 5, 'fear': 10, 'sadness': 15, 'disgust': 2, 'trust': 6, 'anticipation': 5, 'joy': 4, 'surprise': 2}"
1989-03-04,8,Roni,Bobby Brown,12,8,9,Positive,"{'trust': 32, 'anticipation': 13, 'joy': 59, 'surprise': 12, 'anger': 2, 'disgust': 2, 'fear': 3, 'sadness': 7}"
1989-03-04,10,Paradise City,Guns N' Roses,14,10,8,Positive,"{'joy': 33, 'trust': 33, 'anticipation': 23, 'fear': 13, 'sadness': 13, 'disgust': 2, 'surprise': 6, 'anger': 5}"
1989-03-11,7,Girl You Know It's True,Milli Vanilli,12,7,10,Positive,"{'joy': 47, 'trust': 26, 'anticipation': 8, 'surprise': 4, 'fear': 2, 'disgust': 1}"
1989-03-11,9,My Heart Can't Tell You No,Rod Stewart,13,9,14,Positive,"{'sadness': 19, 'joy': 11, 'trust': 5, 'fear': 17, 'anger': 12, 'anticipation': 9, 'disgust': 11, 'surprise': 4}"
1989-03-18,6,Eternal Flame,The Bangles,11,6,7,Negative,"{'joy': 7, 'trust': 7, 'anger': 9, 'fear': 14, 'sadness': 13, 'anticipation': 3, 'surprise': 4, 'disgust': 4}"
1989-03-18,8,The Look,Roxette,13,8,6,Positive,"{'anticipation': 3, 'joy': 3, 'trust': 3, 'surprise': 2, 'sadness': 5, 'fear': 2, 'anger': 1, 'disgust': 1}"
1989-03-18,10,Don't Tell Me Lies,Breathe,12,10,10,Negative,"{'trust': 1, 'anger': 1, 'fear': 2, 'sadness': 2, 'anticipation': 2, 'surprise': 2}"
1989-03-25,7,She Drives Me Crazy,Fine Young Cannibals,14,7,9,Negative,"{'anger': 12, 'fear': 13, 'sadness': 12, 'trust': 2, 'anticipation': 1, 'joy': 2, 'surprise': 2}"
1989-03-25,8,Walk The Dinosaur,Was (Not Was),12,8,9,Negative,"{'fear': 37, 'anticipation': 3, 'joy': 3, 'surprise': 3, 'trust': 3, 'sadness': 12, 'anger': 3, 'disgust': 1}"
1989-03-25,10,You're Not Alone,Chicago,11,10,10,Positive,"{'joy': 7, 'fear': 7, 'sadness': 7, 'anger': 4, 'anticipation': 2, 'surprise': 2, 'disgust': 2}"
1989-04-01,8,Stand,R.E.M.,14,8,11,Positive,"{'anticipation': 1, 'joy': 1, 'surprise': 1, 'trust': 6, 'sadness': 2}"
1989-04-01,9,Dreamin',Vanessa Williams,12,9,13,Positive,"{'anticipation': 2, 'anger': 1, 'fear': 1, 'sadness': 1, 'joy': 2, 'trust': 1}"
1989-04-08,5,Like A Prayer,Madonna,11,5,4,Positive,"{'anticipation': 10, 'surprise': 6, 'joy': 6, 'trust': 4, 'fear': 4, 'sadness': 4}"
1989-04-08,10,Funky Cold Medina,Tone-Loc,17,10,6,Negative,"{'fear': 3, 'sadness': 4, 'anticipation': 6, 'joy': 8, 'trust': 7, 'surprise': 6, 'disgust': 3, 'anger': 2}"
1989-04-15,8,Superwoman,Karyn White,11,8,12,Positive,"{'anticipation': 8, 'joy': 29, 'surprise': 11, 'fear': 6, 'sadness': 9, 'disgust': 8, 'trust': 12, 'anger': 4}"
1989-04-15,9,You Got It,Roy Orbison,12,9,13,Positive,"{'anticipation': 5, 'joy': 11, 'trust': 3, 'anger': 1, 'surprise': 2, 'fear': 1}"
1989-04-15,10,Your Mama Don't Dance,Poison,13,10,9,Positive,"{'joy': 14, 'trust': 15, 'anticipation': 4, 'anger': 5, 'sadness': 4, 'disgust': 2, 'fear': 3, 'surprise': 1}"
1989-04-22,5,I'll Be There For You,Bon Jovi,11,5,8,Positive,"{'surprise': 8, 'anticipation': 11, 'anger': 14, 'fear': 11, 'sadness': 10, 'joy': 21, 'trust': 15, 'disgust': 2}"
1989-04-22,7,Heaven Help Me,Deon Estus With George Michael,12,7,9,Positive,"{'anticipation': 178, 'joy': 211, 'trust': 125, 'disgust': 26, 'fear': 67, 'surprise': 119, 'sadness': 58, 'anger': 31}"
1989-04-22,10,Second Chance,Thirty Eight Special,14,10,11,Negative,"{'trust': 7, 'sadness': 8, 'anger': 11, 'disgust': 7, 'anticipation': 8, 'fear': 11, 'joy': 6, 'surprise': 3}"
1989-04-29,8,Real Love,Jody Watley,14,8,7,Positive,"{'joy': 38, 'fear': 10, 'sadness': 10, 'anticipation': 3, 'disgust': 2, 'trust': 35, 'surprise': 1}"
1989-04-29,9,"After All (Love Theme From ""Chances Are"")",Cher & Peter Cetera,15,9,8,Negative,"{'trust': 343, 'anger': 779, 'anticipation': 283, 'fear': 347, 'surprise': 197, 'joy': 236, 'disgust': 203, 'sadness': 775}"
1989-04-29,10,Forever Your Girl,Paula Abdul,17,10,8,Positive,"{'joy': 27, 'disgust': 3, 'trust': 8, 'anger': 2, 'anticipation': 2, 'surprise': 2, 'sadness': 3, 'fear': 1}"
1989-05-06,8,Soldier Of Love,Donny Osmond,15,8,7,Positive,"{'joy': 10, 'anger': 26, 'fear': 19, 'disgust': 4, 'sadness': 25, 'surprise': 8, 'anticipation': 1}"
1989-05-06,9,Room To Move,Animotion,11,9,12,Positive,"{'anticipation': 4, 'joy': 7, 'trust': 3, 'anger': 4, 'disgust': 2, 'fear': 4, 'sadness': 4, 'surprise': 2}"
1989-05-13,8,"Rock On (From ""Dream A Little Dream"")",Michael Damian,14,8,9,Positive,"{'anticipation': 195, 'anger': 143, 'sadness': 156, 'disgust': 108, 'fear': 163, 'joy': 158, 'surprise': 127, 'trust': 198}"
1989-05-13,9,Patience,Guns N' Roses,18,9,6,Positive,"{'joy': 2, 'surprise': 2, 'trust': 15, 'anticipation': 19, 'fear': 2, 'sadness': 1}"
1989-05-13,10,"Wind Beneath My Wings (From ""Beaches"")",Bette Midler,19,10,11,Positive,"{'trust': 312, 'disgust': 136, 'joy': 178, 'fear': 277, 'surprise': 99, 'sadness': 229, 'anticipation': 183, 'anger': 242}"
1989-05-20,9,Every Little Step,Bobby Brown,15,9,9,Positive,"{'anger': 3, 'fear': 1, 'sadness': 5, 'trust': 15, 'joy': 11, 'anticipation': 8, 'surprise': 5, 'disgust': 1}"
1989-05-27,7,I'll Be Loving You (Forever),New Kids On The Block,12,7,9,Positive,"{'joy': 34, 'trust': 31, 'anger': 2, 'fear': 2, 'sadness': 4, 'surprise': 2, 'anticipation': 4}"
1989-06-03,9,Buffalo Stance,Neneh Cherry,12,9,10,Positive,"{'anticipation': 22, 'joy': 37, 'surprise': 22, 'trust': 21, 'fear': 10, 'anger': 7, 'disgust': 4, 'sadness': 11}"
1989-06-10,7,Satisfied,Richard Marx,11,7,6,Positive,"{'sadness': 2, 'anticipation': 4, 'joy': 10, 'trust': 2, 'anger': 1, 'fear': 1, 'surprise': 1}"
1989-06-10,10,Where Are You Now?,Jimmy Harnen With Synch,13,10,28,Positive,"{'anticipation': 405, 'trust': 545, 'anger': 425, 'disgust': 273, 'fear': 632, 'sadness': 357, 'surprise': 708, 'joy': 717}"
1989-06-17,6,Baby Don't Forget My Number,Milli Vanilli,12,6,8,Positive,"{'joy': 19, 'anticipation': 1, 'trust': 4, 'fear': 4, 'sadness': 4}"
1989-06-17,7,Good Thing,Fine Young Cannibals,15,7,7,Positive,"{'anticipation': 38, 'joy': 34, 'surprise': 27, 'trust': 34, 'anger': 1, 'sadness': 1, 'disgust': 1, 'fear': 6}"
1989-06-17,9,This Time I Know It's For Real,Donna Summer,14,9,9,Positive,"{'anticipation': 15, 'trust': 4, 'anger': 7, 'fear': 6, 'sadness': 6, 'joy': 10, 'surprise': 3}"
1989-06-17,10,Cry,Waterfront,13,10,11,Negative,"{'sadness': 13, 'trust': 3, 'surprise': 1, 'anticipation': 7, 'joy': 9, 'anger': 1, 'fear': 2}"
1989-06-24,9,Miss You Like Crazy,Natalie Cole,12,9,11,Positive,"{'anger': 17, 'fear': 17, 'sadness': 18, 'anticipation': 12, 'joy': 23, 'surprise': 9, 'trust': 12, 'disgust': 2}"
1989-07-01,5,If You Don't Know Me By Now,Simply Red,11,5,9,Positive,"{'surprise': 3, 'anticipation': 4, 'joy': 4, 'trust': 5, 'sadness': 2, 'anger': 3, 'fear': 1}"
1989-07-01,6,Express Yourself,Madonna,13,6,5,Positive,"{'joy': 26, 'trust': 14, 'anticipation': 10, 'anger': 1, 'sadness': 2}"
1989-07-01,8,I Drove All Night,Cyndi Lauper,12,8,9,Positive,"{'anticipation': 6, 'fear': 8, 'disgust': 4, 'anger': 4, 'sadness': 4, 'joy': 7, 'surprise': 4, 'trust': 4}"
1989-07-08,5,Toy Soldiers,Martika,11,5,8,Negative,"{'sadness': 12, 'anger': 5, 'fear': 5, 'trust': 5, 'joy': 5, 'anticipation': 2, 'disgust': 2}"
1989-07-08,10,What You Don't Know,Expose,13,10,8,Negative,"{'joy': 10, 'trust': 2, 'fear': 33, 'anger': 25, 'sadness': 28, 'anticipation': 4, 'surprise': 1}"
1989-07-15,6,"Batdance (From ""Batman"")",Prince,12,6,5,Positive,"{'fear': 2317, 'sadness': 2161, 'trust': 3907, 'anger': 1766, 'anticipation': 3257, 'disgust': 1191, 'surprise': 1699, 'joy': 2783}"
1989-07-15,9,The Doctor,The Doobie Brothers,11,9,9,Positive,"{'trust': 14, 'joy': 9, 'sadness': 7, 'surprise': 2, 'anticipation': 3, 'fear': 1}"
1989-07-15,10,So Alive,Love And Rockets,15,10,9,Positive,"{'anticipation': 22, 'joy': 21, 'trust': 16, 'anger': 2, 'fear': 2, 'sadness': 2}"
1989-07-22,9,Lay Your Hands On Me,Bon Jovi,13,9,8,Positive,"{'anticipation': 1, 'trust': 5, 'joy': 1}"
1989-07-29,8,Once Bitten Twice Shy,Great White,11,8,12,Positive,"{'anticipation': 4, 'fear': 2, 'joy': 16, 'trust': 5, 'disgust': 2, 'sadness': 2, 'surprise': 1}"
1989-07-29,9,I Like It,Dino,13,9,12,Positive,"{'trust': 10, 'joy': 13, 'fear': 3, 'surprise': 8, 'anticipation': 8, 'sadness': 2, 'anger': 1, 'disgust': 1}"
1989-07-29,10,Right Here Waiting,Richard Marx,18,10,4,Positive,"{'anger': 3, 'fear': 5, 'sadness': 4, 'anticipation': 3, 'joy': 4, 'surprise': 3, 'trust': 1}"
1989-08-05,9,Cold Hearted,Paula Abdul,13,9,7,Negative,"{'disgust': 17, 'fear': 6, 'anticipation': 7, 'joy': 8, 'trust': 7, 'sadness': 2, 'surprise': 1, 'anger': 1}"
1989-08-12,9,Don't Wanna Lose You,Gloria Estefan,14,9,6,Negative,"{'fear': 21, 'sadness': 20, 'anger': 11, 'disgust': 13, 'surprise': 14, 'trust': 9, 'joy': 9, 'anticipation': 4}"
1989-08-19,6,Hangin' Tough,New Kids On The Block,11,6,6,Negative,"{'sadness': 25, 'fear': 3, 'surprise': 1, 'joy': 1, 'trust': 2, 'anticipation': 3, 'anger': 1, 'disgust': 1}"
1989-08-19,9,Secret Rendezvous,Karyn White,12,9,13,Positive,"{'anticipation': 14, 'joy': 15, 'fear': 7, 'trust': 20, 'sadness': 6}"
1989-08-26,8,The End Of The Innocence,Don Henley,11,8,10,Positive,"{'anticipation': 9, 'sadness': 8, 'joy': 5, 'anger': 9, 'disgust': 5, 'fear': 10, 'trust': 4, 'surprise': 1}"
1989-08-26,9,Friends,Jody Watley With Eric B. & Rakim,12,9,11,Negative,"{'anger': 30, 'fear': 27, 'anticipation': 26, 'joy': 22, 'trust': 35, 'sadness': 25, 'surprise': 16, 'disgust': 21}"
1989-08-26,10,Angel Eyes,The Jeff Healey Band,13,10,11,Positive,"{'anticipation': 5, 'joy': 9, 'surprise': 5, 'trust': 4, 'anger': 1, 'fear': 1}"
1989-09-02,6,Heaven,Warrant,15,6,7,Positive,"{'sadness': 5, 'anticipation': 8, 'joy': 7, 'trust': 5, 'disgust': 1, 'surprise': 2}"
1989-09-02,8,Shower Me With Your Love,Surface,12,8,10,Positive,"{'joy': 24, 'sadness': 2, 'anger': 1, 'anticipation': 7, 'disgust': 1, 'fear': 2, 'surprise': 2, 'trust': 4}"
1989-09-09,7,Girl I'm Gonna Miss You,Milli Vanilli,12,7,6,Negative,"{'disgust': 4, 'anticipation': 5, 'surprise': 2, 'anger': 4, 'fear': 14, 'sadness': 8, 'joy': 8, 'trust': 3}"
1989-09-09,9,If I Could Turn Back Time,Cher,11,9,10,Negative,"{'anticipation': 13, 'anger': 12, 'fear': 9, 'sadness': 13, 'joy': 10, 'trust': 1}"
1989-09-09,10,18 And Life,Skid Row,13,10,10,Negative,"{'anticipation': 14, 'joy': 8, 'surprise': 4, 'disgust': 2, 'anger': 14, 'trust': 6, 'sadness': 3, 'fear': 4}"
1989-09-16,10,Cherish,Madonna,14,10,5,Positive,"{'anticipation': 49, 'joy': 66, 'surprise': 34, 'trust': 46, 'anger': 2, 'fear': 8, 'sadness': 8, 'disgust': 11}"
1989-09-23,8,Miss You Much,Janet Jackson,15,8,4,Positive,"{'anger': 2, 'fear': 2, 'sadness': 3, 'surprise': 3, 'joy': 14, 'anticipation': 6, 'trust': 2, 'disgust': 1}"
1989-09-30,7,One,Bee Gees,11,7,10,Positive,"{'anger': 3, 'fear': 9, 'sadness': 3, 'trust': 12, 'anticipation': 7, 'joy': 25, 'surprise': 6, 'disgust': 1}"
1989-09-30,8,Kisses On The Wind,Neneh Cherry,12,8,11,Positive,"{'anticipation': 17, 'surprise': 13, 'joy': 20, 'fear': 3, 'anger': 1, 'disgust': 1, 'sadness': 4, 'trust': 3}"
1989-09-30,10,Love Song,The Cure,16,10,8,Positive,"{'anticipation': 4, 'joy': 11, 'surprise': 1, 'anger': 2, 'trust': 1}"
1989-10-07,6,Mixed Emotions,The Rolling Stones,12,6,6,Negative,"{'joy': 6, 'sadness': 10, 'anticipation': 10, 'fear': 7, 'anger': 5, 'disgust': 3, 'surprise': 3, 'trust': 2}"
1989-10-07,9,Bust A Move,Young M.C.,11,9,11,Positive,"{'anger': 10, 'fear': 5, 'sadness': 9, 'surprise': 10, 'disgust': 5, 'anticipation': 15, 'joy': 27, 'trust': 21}"
1989-10-07,10,It's No Crime,Babyface,14,10,9,Positive,"{'anger': 4, 'anticipation': 7, 'fear': 2, 'joy': 15, 'surprise': 2, 'trust': 4, 'sadness': 2}"
1989-10-14,6,Sowing The Seeds Of Love,Tears For Fears,13,6,7,Positive,"{'joy': 59, 'anticipation': 7, 'trust': 13, 'anger': 11, 'fear': 5, 'surprise': 3, 'sadness': 4, 'disgust': 4}"
1989-10-14,9,Listen To Your Heart,Roxette,14,9,8,Positive,"{'joy': 7, 'surprise': 4, 'trust': 2, 'sadness': 3, 'anger': 3, 'fear': 2, 'anticipation': 2, 'disgust': 1}"
